S.No,Stadium,Home Ground,No of Piches,Pitch Hardness,Wicket,Nature Of The Pitch,Dew Factor
1,Wankhede Stadium,MI,13,Hard,Fast,Dry/Grassy,High
2,MA Chidambaram Stadium,CSK,9,Soft,slow,Dry,Medium
3,Arun Jaitley Stadium,DC,9,Soft,slow,Dry,High
4,M Chinnaswamy StadiumÂ Â ,RCB,7,Hard,slow,Dry,High
5,Narendra Modi Stadium,GT,11,Hard,Fast,Dry/Grassy,High
6,Eden Gardens,KKR,8,Hard,slow,Dry/Grassy,High
7,Rajiv Gandhi International StadiumÂ ,SRH,7,Hard,Fast,Flat,Medium
8,BRSABV Ekana Cricket StadiumÂ ,LSG,8,Soft,slow,Dry,Medium
9,Barsapara Cricket Stadium,RR,6,Soft,slow,Dry,Medium
10,Maharaja Yadavindra Singh Cricket Stadium,PBKS,8,Hard,slow,Dry,Low
11,Himachal Pradesh Cricket Association StadiumÂ Â Â ,PBKS,7,Hard,Fast,Dry/Grassy,Low
